Movie,URL,Max Week
Molly's-Game,https://www.the-numbers.com/movie/Mollys-Game#tab=box-office,10
The-Big-Sick,https://www.the-numbers.com/movie/Big-Sick-The#tab=box-office,17
Vice,https://www.the-numbers.com/movie/Vice#tab=box-office,1
A-Star-Is-Born,https://www.the-numbers.com/movie/Star-is-Born-A-(2018)#tab=box-office,26
At-Eternity's-Gate,https://www.the-numbers.com/movie/At-Eternitys-Gate#tab=box-office,13
Bohemian-Rhapsody,https://www.the-numbers.com/movie/Bohemian-Rhapsody-(2018)#tab=box-office,25
Green-Book,https://www.the-numbers.com/movie/Green-Book-(2018)#tab=box-office,24
The-Wife,https://www.the-numbers.com/movie/Wife-The-(2018)#tab=box-office,35
The-Favourite,https://www.the-numbers.com/movie/Favourite-The-(2018)#tab=box-office,20
Can-You-Ever-Forgive-Me?,https://www.the-numbers.com/movie/Can-You-Ever-Forgive-Me?#tab=box-office,21
BlacKkKlansman,https://www.the-numbers.com/movie/BlacKkKlansman#tab=box-office,25
Cold-War,https://www.the-numbers.com/movie/Cold-War#tab=box-office,12
Black-Panther,https://www.the-numbers.com/movie/Black-Panther#tab=box-office,25
If-Beale-Street-Could-Talk,https://www.the-numbers.com/movie/If-Beale-Street-Could-Talk#tab=box-office,17
First-Reformed,https://www.the-numbers.com/movie/First-Reformed#tab=box-office,11
Pain-and-Glory,https://www.the-numbers.com/movie/Dolor-y-gloria-(Spain)-(2019)#tab=box-office,24
Once-upon-a-Time...in-Hollywood,https://www.the-numbers.com/movie/Once-Upon-a-Time-in-Hollywood-(2019)#tab=box-office,30
Marriage-Story,https://www.the-numbers.com/movie/Marriage-Story#tab=box-office,10
Joker,https://www.the-numbers.com/movie/Joker#tab=box-office,3
Harriet,https://www.the-numbers.com/movie/Harriet-(2019)#tab=box-office,12
Bombshell,https://www.the-numbers.com/movie/Bombshell#tab=box-office,12
Judy,https://www.the-numbers.com/movie/Judy-(2019)#tab=box-office,24
The-Irishman,https://www.the-numbers.com/movie/Irishman-The#tab=box-office,12
1917,https://www.the-numbers.com/movie/1917-(2019)#tab=box-office,12
Parasite,https://www.the-numbers.com/movie/Parasite-(2019-South-Korea)#tab=box-office,23
Ford-v-Ferrari,https://www.the-numbers.com/movie/Ford-v-Ferrari#tab=box-office,18
Jojo-Rabbit,https://www.the-numbers.com/movie/Jojo-Rabbit-(Germany)-(2019)#tab=box-office,22
Knives-Out,https://www.the-numbers.com/movie/Knives-Out-(2019)#tab=box-office,39
Sound-of-Metal,https://www.the-numbers.com/movie/Sound-of-Metal#tab=box-office,10
The-Father,https://www.the-numbers.com/movie/Father-The-(UK)#tab=box-office,16
Mank,https://www.the-numbers.com/movie/Mank#tab=box-office,11
Minari,https://www.the-numbers.com/movie/Minari#tab=box-office,22
Nomadland,https://www.the-numbers.com/movie/Nomadland#tab=box-office,6
Promising-Young-Woman,https://www.the-numbers.com/movie/Promising-Young-Woman#tab=box-office,18
Another-Round,https://www.the-numbers.com/movie/Druk-(Denmark)#tab=box-office,14
Judas-and-the-Black-Messiah,https://www.the-numbers.com/movie/Judas-and-the-Black-Messiah#tab=box-office,12
The-Trial-of-the-Chicago-7,https://www.the-numbers.com/movie/Trial-of-the-Chicago-7-The#tab=box-office,10
King-Richard,https://www.the-numbers.com/movie/King-Richard-(2020)#tab=box-office,20
The-Eyes-of-Tammy-Faye,https://www.the-numbers.com/movie/Eyes-of-Tammy-Faye-The#tab=box-office,11
The-Lost-Daughter,https://www.the-numbers.com/movie/Lost-Daughter-The#tab=box-office,10
Parallel-Mothers,https://www.the-numbers.com/movie/Madres-paralelas-(2021-Spain)#tab=box-office,19
Spencer,https://www.the-numbers.com/movie/Spencer-(2021-United-Kingdom)#tab=box-office,7
Belfast,https://www.the-numbers.com/movie/Belfast-(2021-United-Kingdom)#tab=box-office,20
Drive-My-Car,https://www.the-numbers.com/movie/Doraibu-mai-ka-(2021-Japan)#tab=box-office,21
Licorice-Pizza,https://www.the-numbers.com/movie/Licorice-Pizza-(2021)#tab=box-office,19
West-Side-Story,https://www.the-numbers.com/movie/West-Side-Story#tab=box-office,11
Dune,https://www.the-numbers.com/movie/Dune#tab=box-office,6
Nightmare-Alley,https://www.the-numbers.com/movie/Nightmare-Alley#tab=box-office,15
The-Worst-Person-in-the-World,https://www.the-numbers.com/movie/Verdens-verste-menneske-(2021-Norway)#tab=box-office,9

