Movie Name,URL,Domestic Box Office 
The-Danish-Girl,https://www.the-numbers.com/movie/Danish-Girl-The#tab=box-office,11114018
Carol,https://www.the-numbers.com/movie/Carol#tab=box-office,12711491
Room,https://www.the-numbers.com/movie/Room#tab=box-office,5228
Joy,https://www.the-numbers.com/movie/Joy#tab=box-office,56451232
45-Years,https://www.the-numbers.com/movie/45-Years#tab=box-office,4250507
Brooklyn,https://www.the-numbers.com/movie/Brooklyn#tab=box-office,38322743
The-Big-Short,https://www.the-numbers.com/movie/Big-Short-The#tab=box-office,70259870
Mad-Max:-Fury-Road,https://www.the-numbers.com/movie/Mad-Max-Fury-Road,"154,363,726"
Spotlight,https://www.the-numbers.com/movie/Spotlight#tab=box-office,45055776
Bridge-of-Spies,https://www.the-numbers.com/movie/Bridge-of-Spies#tab=box-office,72313754
Ex-Machina,https://www.the-numbers.com/movie/Ex-Machina#tab=box-office,25440971
Inside-Out,https://www.the-numbers.com/movies/franchise/Inside-Out#tab=summary,"356,461,711"
Straight-Outta-Compton,https://www.the-numbers.com/movie/Straight-Outta-Compton#tab=box-office,161197785
Manchester-by-the-Sea,https://www.the-numbers.com/movie/Manchester-by-the-Sea#tab=box-office,47695371
Hacksaw-Ridge,https://www.the-numbers.com/movie/Hacksaw-Ridge#tab=box-office,67209615
La-La-Land,https://www.the-numbers.com/movie/La-La-Land#tab=box-office,151101803
Captain-Fantastic,https://www.the-numbers.com/movie/Captain-Fantastic#tab=box-office,5879835
Fences,https://www.the-numbers.com/movie/Fences#tab=box-office,57682904
Dunkirk,https://www.the-numbers.com/movie/Dunkirk#tab=box-office,"190,068,280"
The-Disaster-Artist,https://www.the-numbers.com/movie/Disaster-Artist-The#tab=box-office,"21,120,616"
Logan,https://www.the-numbers.com/movie/Logan#tab=box-office,7137
Molly's-Game,https://www.the-numbers.com/movie/Mollys-Game#tab=box-office,"28,780,744"
Arrival,https://www.the-numbers.com/movie/Arrival#tab=box-office,100546139
Moonlight,https://www.the-numbers.com/movie/Moonlight#tab=box-office,51570
Hell-or-High-Water,https://www.the-numbers.com/movie/Hell-or-High-Water#tab=box-office,27007844
Hidden-Figures,https://www.the-numbers.com/movie/Hidden-Figures#tab=box-office,169607287
Lion,https://www.the-numbers.com/movie/Lion#tab=box-office,51739495
The-Lobster,https://www.the-numbers.com/movie/Lobster-The#tab=box-office,9196278
20th-Century-Women,https://www.the-numbers.com/movie/20th-Century-Women#tab=box-office,5664763
Call-Me-by-Your-Name,https://www.the-numbers.com/movie/Call-Me-by-Your-Name#tab=box-office,18065180
Phantom-Thread,https://www.the-numbers.com/movie/Phantom-Thread#tab=box-office,21198205
Get-Out,https://www.the-numbers.com/movie/Get-Out#tab=box-office,175837935
Darkest-Hour,https://www.the-numbers.com/movie/Darkest-Hour-(UK)#tab=summary,"56,443,120"
"Roman-J.-Israel,-Esq.",https://www.the-numbers.com/movie/Roman-J-Israel-Esq#tab=summary,"11,962,712"
The-Shape-of-Water,https://www.the-numbers.com/movie/Shape-of-Water-The#tab=box-office,63859435
"Three-Billboards-outside-Ebbing,-Missouri",https://www.the-numbers.com/movie/Three-Billboards-Outside-Ebbing-Missouri,"54,513,740"
"I,-Tonya",https://www.the-numbers.com/movie/I-Tonya-(2017),"30,014,534"
Lady-Bird,https://www.the-numbers.com/movie/Lady-Bird-(2017)#tab=summary,"48,958,273"
The-Post,https://www.the-numbers.com/movie/Post-The#tab=box-office,81903458
Knives-Out,https://www.the-numbers.com/movie/Knives-Out-(2019)#tab=summary,"165,364,060"
Marriage-Story,https://www.the-numbers.com/movie/Marriage-Story,"333,686"
1917,https://www.the-numbers.com/movie/1917-(2019)#tab=summary,"159,227,644"
Once-upon-a-Time...in-Hollywood,https://www.the-numbers.com/movie/Once-Upon-a-Time-in-Hollywood-(2019)#tab=summary,"142,502,728"
Parasite,https://www.the-numbers.com/movie/Parasite-(2019-South-Korea),"53,867,897"
The-Big-Sick,https://www.the-numbers.com/movie/Big-Sick-The#tab=box-office,"42,872,467"
Vice,https://www.the-numbers.com/movie/Vice#tab=box-office,12000
A-Star-Is-Born,https://www.the-numbers.com/movie/Star-is-Born-A-(2018)#tab=box-office,"215,288,866"
