movie,url,first_full_date_in_theaters,first_month_in_theaters
Breaking-the-Waves,https://www.the-numbers.com/movie/Breaking-the-Waves#tab=box-office,1996-11-22,11.0
The-Crucible,https://www.the-numbers.com/movie/Crucible-The#tab=box-office,1996-11-29,11.0
Trainspotting,https://www.the-numbers.com/movie/Trainspotting#tab=box-office,1996-07-19,7.0
Lone-Star,https://www.the-numbers.com/movie/Lone-Star#tab=box-office,1996-06-21,6.0
Good-Will-Hunting,https://www.the-numbers.com/movie/Good-Will-Hunting#tab=box-office,1997-12-05,12.0
The-Apostle,https://www.the-numbers.com/movie/Apostle-The#tab=box-office,1997-12-19,12.0
Ulee's-Gold,https://www.the-numbers.com/movie/Ulees-Gold#tab=box-office,1997-06-13,6.0
As-Good-as-It-Gets,https://www.the-numbers.com/movie/As-Good-as-It-Gets#tab=box-office,1997-12-26,12.0
The-Wings-of-the-Dove,https://www.the-numbers.com/movie/Wings-of-the-Dove-The#tab=box-office,1997-11-07,11.0
Afterglow,https://www.the-numbers.com/movie/Afterglow#tab=box-office,1997-12-26,12.0
Mrs.-Brown,https://www.the-numbers.com/movie/Mrs-Brown#tab=box-office,1997-07-18,7.0
Titanic,https://www.the-numbers.com/movie/Titanic#tab=box-office,1997-12-19,12.0
The-Full-Monty,https://www.the-numbers.com/movie/Full-Monty-The#tab=box-office,1997-08-15,8.0
The-Sweet-Hereafter,https://www.the-numbers.com/movie/Sweet-Hereafter-The#tab=box-office,1997-10-10,10.0
Boogie-Nights,https://www.the-numbers.com/movie/Boogie-Nights#tab=box-office,1997-10-10,10.0
Deconstructing-Harry,https://www.the-numbers.com/movie/Deconstructing-Harry#tab=box-office,1997-12-12,12.0
Trumbo,https://www.the-numbers.com/movie/Trumbo#tab=box-office,2008-06-27,6.0
The-Martian,https://www.the-numbers.com/movie/The-Martian#tab=box-office,2015-10-02,10.0
The-Danish-Girl,https://www.the-numbers.com/movie/Danish-Girl-The#tab=box-office,2015-11-27,11.0
Carol,https://www.the-numbers.com/movie/Carol#tab=box-office,2015-11-20,11.0
Room,https://www.the-numbers.com/movie/Room#tab=box-office,2006-04-14,4.0
Joy,https://www.the-numbers.com/movie/Joy#tab=box-office,2015-12-25,12.0
45-Years,https://www.the-numbers.com/movie/45-Years#tab=box-office,2015-12-25,12.0
Brooklyn,https://www.the-numbers.com/movie/Brooklyn#tab=box-office,2015-11-06,11.0
The-Big-Short,https://www.the-numbers.com/movie/Big-Short-The#tab=box-office,2015-12-11,12.0
Spotlight,https://www.the-numbers.com/movie/Spotlight#tab=box-office,2015-11-06,11.0
Bridge-of-Spies,https://www.the-numbers.com/movie/Bridge-of-Spies#tab=box-office,2015-10-16,10.0
Ex-Machina,https://www.the-numbers.com/movie/Ex-Machina#tab=box-office,2015-04-10,4.0
Straight-Outta-Compton,https://www.the-numbers.com/movie/Straight-Outta-Compton#tab=box-office,2015-08-14,8.0
Manchester-by-the-Sea,https://www.the-numbers.com/movie/Manchester-by-the-Sea#tab=box-office,2016-11-18,11.0
Hacksaw-Ridge,https://www.the-numbers.com/movie/Hacksaw-Ridge#tab=box-office,2016-11-04,11.0
La-La-Land,https://www.the-numbers.com/movie/La-La-Land#tab=box-office,2016-12-09,12.0
Captain-Fantastic,https://www.the-numbers.com/movie/Captain-Fantastic#tab=box-office,2016-07-08,7.0
Fences,https://www.the-numbers.com/movie/Fences#tab=box-office,2016-12-16,12.0
Florence-Foster-Jenkins,https://www.the-numbers.com/movie/Florence-Foster-Jenkins#tab=box-office,2016-08-12,8.0
Arrival,https://www.the-numbers.com/movie/Arrival#tab=box-office,2016-11-11,11.0
Moonlight,https://www.the-numbers.com/movie/Moonlight#tab=box-office,2006-05-19,5.0
Hell-or-High-Water,https://www.the-numbers.com/movie/Hell-or-High-Water#tab=box-office,2016-08-12,8.0
Hidden-Figures,https://www.the-numbers.com/movie/Hidden-Figures#tab=box-office,2016-12-23,12.0
Lion,https://www.the-numbers.com/movie/Lion#tab=box-office,2016-11-25,11.0
The-Lobster,https://www.the-numbers.com/movie/Lobster-The#tab=box-office,2016-03-25,3.0
20th-Century-Women,https://www.the-numbers.com/movie/20th-Century-Women#tab=box-office,2016-12-30,12.0
Call-Me-by-Your-Name,https://www.the-numbers.com/movie/Call-Me-by-Your-Name#tab=box-office,2017-11-24,11.0
Phantom-Thread,https://www.the-numbers.com/movie/Phantom-Thread#tab=box-office,2017-12-29,12.0
Get-Out,https://www.the-numbers.com/movie/Get-Out#tab=box-office,2017-02-24,2.0
The-Shape-of-Water,https://www.the-numbers.com/movie/Shape-of-Water-The#tab=box-office,2017-12-01,12.0
The-Post,https://www.the-numbers.com/movie/Post-The#tab=box-office,2017-12-22,12.0
Dunkirk,https://www.the-numbers.com/movie/Dunkirk#tab=box-office,2017-07-21,7.0
The-Disaster-Artist,https://www.the-numbers.com/movie/Disaster-Artist-The#tab=box-office,2017-12-01,12.0
Logan,https://www.the-numbers.com/movie/Logan#tab=box-office,2010-09-10,9.0
Molly's-Game,https://www.the-numbers.com/movie/Mollys-Game#tab=box-office,2017-12-29,12.0
The-Big-Sick,https://www.the-numbers.com/movie/Big-Sick-The#tab=box-office,2017-06-23,6.0
Vice,https://www.the-numbers.com/movie/Vice#tab=box-office,2008-05-09,5.0
At-Eternity's-Gate,https://www.the-numbers.com/movie/At-Eternitys-Gate#tab=box-office,2018-11-16,11.0
Can-You-Ever-Forgive-Me?,https://www.the-numbers.com/movie/Can-You-Ever-Forgive-Me?#tab=box-office,2018-10-19,10.0
BlacKkKlansman,https://www.the-numbers.com/movie/BlacKkKlansman#tab=box-office,2018-08-10,8.0
Black-Panther,https://www.the-numbers.com/movie/Black-Panther#tab=box-office,2018-02-16,2.0
If-Beale-Street-Could-Talk,https://www.the-numbers.com/movie/If-Beale-Street-Could-Talk#tab=box-office,2018-12-14,12.0
First-Reformed,https://www.the-numbers.com/movie/First-Reformed#tab=box-office,2018-05-18,5.0
Joker,https://www.the-numbers.com/movie/Joker#tab=box-office,2012-08-31,8.0
Little-Women,https://www.the-numbers.com/movie/Little-Women#tab=box-office,1994-12-23,12.0
Bombshell,https://www.the-numbers.com/movie/Bombshell#tab=box-office,2019-12-13,12.0
Ford-v-Ferrari,https://www.the-numbers.com/movie/Ford-v-Ferrari#tab=box-office,2019-11-15,11.0
Minari,https://www.the-numbers.com/movie/Minari#tab=box-office,2021-03-19,3.0
Nomadland,https://www.the-numbers.com/movie/Nomadland#tab=box-office,2021-02-19,2.0
Promising-Young-Woman,https://www.the-numbers.com/movie/Promising-Young-Woman#tab=box-office,2020-12-25,12.0
Judas-and-the-Black-Messiah,https://www.the-numbers.com/movie/Judas-and-the-Black-Messiah#tab=box-office,2021-02-12,2.0
The-Eyes-of-Tammy-Faye,https://www.the-numbers.com/movie/Eyes-of-Tammy-Faye-The#tab=box-office,2000-07-21,7.0
Dune,https://www.the-numbers.com/movie/Dune#tab=box-office,1984-12-14,12.0
Nightmare-Alley,https://www.the-numbers.com/movie/Nightmare-Alley#tab=box-office,2021-12-17,12.0
